gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts
RPRC000679,871,432,211,151
RPRC003242,3203,2959,1412,1252
RPRC003262,130,98,12,5
RPRC003241,1067,832,257,289
RPRC003252,1836,1236,883,547
RPRC003249,1710,1113,573,422
RPRC003250,3,1,0,1
RPRC003440,0,0,0,0
RPRC000573,47,27,3,0
RPRC003441,3685,2136,3221,2151
RPRC000893,945,589,231,177
RPRC003454,2205,1701,605,457
RPRC007227,119,68,136,115
RPRC007222,144,65,176,101
RPRC007221,2532,1844,1016,617
RPRC007220,7096,5140,1615,1436
RPRC007219,861,576,269,197
RPRC007218,942,626,726,450
RPRC007224,837,619,543,307
RPRC007223,4,0,7,3
RPRC005492,17,3,6,2
RPRC013015,26,4,39,39
RPRC013016,42,21,11,12
RPRC015686,0,0,0,0
RPRC013014,16232,10770,3085,2318
RPRC017617,0,0,0,0
RPRC017616,0,0,0,0
RPRC013293,0,4,0,0
RPRC013437,1,2,0,0
RPRC013441,938,823,718,456
RPRC015126,0,0,1,0
RPRC012680,0,0,0,0
RPRC012539,174,110,53,28
RPRC006495,187,156,53,51
RPRC000192,305,233,73,51
RPRC012800,58,48,0,2
RPRC012799,653,463,316,197
RPRC012797,12,7,0,1
RPRC000947,2440,1754,1084,765
RPRC000475,1402,1033,1108,779
RPRC006103,0,0,0,0
RPRC011374,0,0,0,0
RPRC011357,0,0,0,0
RPRC011359,4772,3588,1533,1341
RPRC011352,2101,1478,773,592
RPRC011349,204,147,93,55
RPRC011347,1358,870,392,326
RPRC011828,45,31,50,30
RPRC014168,19,23,27,11
RPRC014766,1,0,0,0
RPRC004258,0,0,0,0
RPRC002518,52,50,1,1
RPRC007132,751,533,254,218
RPRC007140,503,403,228,179
RPRC007134,1,0,0,0
RPRC008010,1900,1307,588,382
RPRC005449,7,4,2,0
RPRC000504,0,0,0,0
RPRC008884,11,14,0,0
RPRC015254,471,293,141,101
RPRC015255,950,669,459,358
RPRC000703,859,634,413,275
RPRC000704,187,136,177,119
RPRC004076,399,261,413,274
RPRC005469,9,0,9,4
RPRC005467,4,0,5,1
RPRC005431,89,67,79,17
RPRC005397,4,3,0,2
RPRC005424,126,78,59,42
RPRC016620,0,0,0,0
RPRC016215,0,0,0,0
RPRC016791,0,0,0,0
RPRC005399,1,0,0,0
RPRC015785,0,1,0,0
RPRC005423,0,0,0,0
RPRC005421,1,0,0,0
RPRC005400,280,224,59,55
RPRC005420,941,633,547,408
RPRC005405,2350,1568,1101,862
RPRC005419,0,0,0,0
RPRC007405,0,0,0,0
RPRC000813,0,0,0,0
RPRC001068,0,0,1,0
RPRC009319,7727,5506,2401,1524
RPRC001069,1,2,0,0
RPRC001070,1,3,0,0
