gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts,Rep1_CondA_CPM,Rep2_CondA_CPM,Rep1_CondB_CPM,Rep2_CondB_CPM
RPRC000679,871,432,211,151,43.32,31.28,26.40,25.69
RPRC003242,3203,2959,1412,1252,159.32,214.24,176.67,212.97
RPRC003262,130,98,12,5,6.47,7.10,1.50,0.85
RPRC003241,1067,832,257,289,53.07,60.24,32.16,49.16
RPRC003252,1836,1236,883,547,91.32,89.49,110.48,93.05
RPRC003249,1710,1113,573,422,85.06,80.58,71.70,71.78
RPRC003250,3,1,0,1,0.15,0.07,0.00,0.17
RPRC003440,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000573,47,27,3,0,2.34,1.95,0.38,0.00
RPRC003441,3685,2136,3221,2151,183.29,154.65,403.02,365.90
RPRC000893,945,589,231,177,47.00,42.65,28.90,30.11
RPRC003454,2205,1701,605,457,109.68,123.16,75.70,77.74
RPRC007227,119,68,136,115,5.92,4.92,17.02,19.56
RPRC007222,144,65,176,101,7.16,4.71,22.02,17.18
RPRC007221,2532,1844,1016,617,125.94,133.51,127.12,104.95
RPRC007220,7096,5140,1615,1436,352.96,372.15,202.07,244.27
RPRC007219,861,576,269,197,42.83,41.70,33.66,33.51
RPRC007218,942,626,726,450,46.86,45.32,90.84,76.55
RPRC007224,837,619,543,307,41.63,44.82,67.94,52.22
RPRC007223,4,0,7,3,0.20,0.00,0.88,0.51
RPRC005492,17,3,6,2,0.85,0.22,0.75,0.34
RPRC013015,26,4,39,39,1.29,0.29,4.88,6.63
RPRC013016,42,21,11,12,2.09,1.52,1.38,2.04
RPRC015686,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013014,16232,10770,3085,2318,807.39,779.78,386.00,394.30
RPRC017617,0,0,0,0,0.00,0.00,0.00,0.00
RPRC017616,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013293,0,4,0,0,0.00,0.29,0.00,0.00
RPRC013437,1,2,0,0,0.05,0.14,0.00,0.00
RPRC013441,938,823,718,456,46.66,59.59,89.84,77.57
RPRC015126,0,0,1,0,0.00,0.00,0.13,0.00
RPRC012680,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012539,174,110,53,28,8.65,7.96,6.63,4.76
